Red,Green,Blue,BlueCorr
0.01564,0.01564,0.01564,34.2516
0.003555,0.003387,0.003448,7.55112
0.140778,0.145966,0.155823,341.25237
0.165649,0.164429,0.170624,373.66656
0.003983,0.003677,0.003647,373.66655999999995
0.105774,0.10141,0.103302,373.66655999999995
0.133301,0.125397,0.126831,458.7762431643143
0.127838,0.121002,0.123596,447.0745208201196
0.073486,0.071503,0.073395,265.4862168322007
0.046814,0.046173,0.046356,167.68007449381423
0.022675,0.022217,0.022339,80.80518560957194
0.071381,0.066895,0.067352,243.62732714874826
0.14444,0.13916,0.14151,511.8734865307544
0.085663,0.087982,0.092987,336.35488581750593
0.087677,0.085907,0.089386,323.3292591833652
0.089935,0.085785,0.088196,319.02476162862285
0.061707,0.058655,0.060486,218.7914614253354
0.041931,0.039612,0.041168,148.91391204507173
0.021179,0.02066,0.022034,79.70193203461695
0.015961,0.01474,0.015533,56.186353376314095
0.012939,0.016846,0.021606,78.15375980484404
0.001465,0.001831,0.002563,47.31714
0.0,0.0,0.000122,2.2523180179477174
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.000122,0.26718
0.001343,0.001709,0.002197,4.8114300000000005
0.006958,0.008057,0.009766,21.38754
0.008362,0.008362,0.009277,20.31663
0.023193,0.026489,0.031494,68.97186
0.026611,0.025024,0.025726,56.33994
0.044556,0.041382,0.042358,92.76402
0.036224,0.036926,0.039917,87.41823000000001
0.079742,0.078156,0.082245,180.11655
0.120239,0.112366,0.114197,250.09143
0.169708,0.159241,0.16275,356.4225
0.177277,0.171875,0.177856,389.50464
0.200287,0.198608,0.205505,450.05595
0.003418,0.003311,0.003357,450.05594999999994
0.00322,0.00325,0.003326,445.89993735478095
0.003647,0.003662,0.003769,505.2906987042001
0.005051,0.004883,0.005005,670.9949448168006
0.008881,0.00824,0.008102,1086.1940145665772
0.005768,0.005264,0.00528,707.8627989276139
0.003952,0.003693,0.003708,497.1127383378015
0.230865,0.217438,0.220062,497.1127383378016
0.01564,0.013718,0.013611,481.9357800000001
0.005753,0.005386,0.005417,191.8041378487988
0.004013,0.003754,0.003784,133.98317474983472
0.006073,0.005569,0.005569,197.18612584086407
0.012772,0.010971,0.010986,388.9902636896628
0.006302,0.005844,0.005844,206.92327516861369
0.006119,0.00563,0.00563,199.34600260083758
0.004715,0.004364,0.004364,154.51970787745208
0.143311,0.134369,0.135315,296.33984999999996
0.226318,0.211243,0.212677,465.76263
0.194397,0.181061,0.1828,400.332
0.149658,0.139038,0.141876,310.70844
0.079285,0.0755,0.075348,165.01212
0.00386,0.003708,0.003662,165.01212000000004
0.003754,0.003754,0.003799,171.18542978700165
0.087128,0.084564,0.085999,188.33781000000002
0.151001,0.141357,0.141876,310.70844
0.091309,0.097229,0.10379,227.3001
0.177429,0.172058,0.17395,380.9505
0.096313,0.100616,0.105804,231.71076
0.052399,0.059387,0.065155,142.68945000000002
0.060516,0.063171,0.066986,146.69934
0.017456,0.02066,0.024261,53.13159
0.02713,0.027588,0.029388,64.35972
0.024475,0.023224,0.023956,52.463640000000005
0.015839,0.012543,0.012146,26.59974
0.011719,0.013184,0.015991,35.020289999999996
0.000488,0.000732,0.001099,35.02028999999999
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.000366,0.000488,0.000732,1.60308
0.007568,0.009033,0.011475,25.13025
0.005859,0.006775,0.007965,17.44335
